Time,Open,High,Low,Close,Volume
2022-05-02 10:15:00,38791.98,38802.33,38785.28,38799.49,13.8509
2022-05-02 10:16:00,38799.5,38808.27,38787.2,38787.21,24.77696
2022-05-02 10:17:00,38787.2,38787.21,38747.61,38747.61,26.42156
2022-05-02 10:18:00,38747.62,38766.8,38743.0,38750.0,19.92845
2022-05-02 10:19:00,38750.01,38753.07,38706.61,38753.07,33.42191
2022-05-02 10:20:00,38753.06,38759.06,38748.16,38751.82,15.43787
2022-05-02 10:21:00,38751.81,38780.44,38751.81,38777.51,18.76001
2022-05-02 10:22:00,38777.51,38803.0,38753.75,38754.81,49.77335
2022-05-02 10:23:00,38754.82,38778.55,38734.64,38778.55,27.27422
2022-05-02 10:24:00,38778.55,38799.97,38778.54,38796.48,25.15355
2022-05-02 10:25:00,38796.48,38800.0,38790.45,38793.43,11.68783
2022-05-02 10:26:00,38793.43,38804.74,38792.99,38804.74,10.46821
2022-05-02 10:27:00,38804.73,38827.92,38804.73,38827.92,13.96632
2022-05-02 10:28:00,38827.91,38833.39,38825.58,38825.58,5.52761
2022-05-02 10:29:00,38825.58,38825.59,38802.31,38808.41,17.71873
2022-05-02 10:30:00,38808.41,38822.67,38803.01,38812.98,20.23931
2022-05-02 10:31:00,38812.99,38812.99,38802.31,38808.27,11.0816
2022-05-02 10:32:00,38808.26,38814.92,38795.15,38801.91,11.56151
2022-05-02 10:33:00,38801.9,38809.65,38799.87,38799.88,8.30608
2022-05-02 10:34:00,38799.88,38813.63,38797.05,38807.23,10.58172
2022-05-02 10:35:00,38807.22,38866.04,38807.22,38861.52,27.03723
2022-05-02 10:36:00,38861.52,38865.09,38828.67,38828.67,39.76357
2022-05-02 10:37:00,38828.67,38839.16,38812.34,38839.15,24.79872
2022-05-02 10:38:00,38839.15,38839.72,38839.15,38839.66,5.12114
2022-05-02 10:39:00,38839.66,38839.66,38821.4,38828.37,11.58889
2022-05-02 10:40:00,38828.37,38828.38,38813.76,38813.77,9.037
2022-05-02 10:41:00,38813.76,38822.88,38813.76,38816.84,13.34811
2022-05-02 10:42:00,38816.84,38827.53,38798.18,38800.93,20.44608
2022-05-02 10:43:00,38800.94,38800.94,38783.3,38783.3,9.29935
2022-05-02 10:44:00,38783.3,38790.02,38772.69,38778.54,10.77579
2022-05-02 10:45:00,38778.54,38797.75,38773.99,38796.42,24.35011
2022-05-02 10:46:00,38796.43,38796.43,38769.16,38769.16,10.74724
2022-05-02 10:47:00,38769.16,38769.17,38734.47,38734.48,21.07072
2022-05-02 10:48:00,38734.48,38752.84,38700.57,38726.43,63.83094
2022-05-02 10:49:00,38726.43,38745.91,38720.03,38743.99,17.43649
2022-05-02 10:50:00,38743.99,38743.99,38704.91,38707.6,16.34295
2022-05-02 10:51:00,38707.6,38725.66,38693.69,38705.36,29.45396
2022-05-02 10:52:00,38705.36,38716.46,38692.26,38698.97,15.30466
2022-05-02 10:53:00,38698.97,38698.98,38680.02,38695.92,22.67958
2022-05-02 10:54:00,38695.93,38698.98,38686.64,38686.66,40.15073
2022-05-02 10:55:00,38686.66,38690.0,38653.77,38689.99,38.64255
2022-05-02 10:56:00,38690.0,38737.75,38689.99,38716.51,47.97015
2022-05-02 10:57:00,38716.51,38717.96,38692.84,38708.08,26.52252
2022-05-02 10:58:00,38708.08,38720.0,38703.35,38703.74,26.26716
2022-05-02 10:59:00,38703.75,38717.36,38703.74,38711.88,7.05809
2022-05-02 11:00:00,38711.87,38739.89,38711.87,38737.33,20.24228
2022-05-02 11:01:00,38737.32,38762.76,38737.32,38761.31,39.94868
2022-05-02 11:02:00,38761.31,38761.32,38743.79,38747.36,29.97246
2022-05-02 11:03:00,38747.37,38757.85,38745.37,38753.96,10.99674
2022-05-02 11:04:00,38753.97,38753.97,38730.77,38748.24,16.93328
2022-05-02 11:05:00,38748.08,38755.89,38730.0,38754.6,22.96727
2022-05-02 11:06:00,38754.6,38754.61,38729.96,38742.52,27.69927
2022-05-02 11:07:00,38742.51,38743.34,38720.88,38743.33,21.27959
2022-05-02 11:08:00,38743.33,38755.4,38733.25,38740.94,17.01048
2022-05-02 11:09:00,38740.93,38740.94,38695.36,38712.39,32.53923
2022-05-02 11:10:00,38712.38,38712.39,38697.15,38699.99,19.81808
2022-05-02 11:11:00,38699.99,38706.67,38687.57,38700.51,27.17475
2022-05-02 11:12:00,38700.51,38703.43,38653.43,38667.37,30.47744
2022-05-02 11:13:00,38667.38,38673.9,38631.29,38648.9,39.4119
2022-05-02 11:14:00,38648.91,38665.09,38635.29,38635.29,24.54372
2022-05-02 11:15:00,38635.3,38645.58,38615.32,38615.33,68.30667
2022-05-02 11:16:00,38615.32,38649.29,38611.12,38649.29,29.27165
2022-05-02 11:17:00,38649.29,38666.57,38631.89,38660.11,17.11758
2022-05-02 11:18:00,38660.12,38680.0,38660.07,38677.07,12.35699
2022-05-02 11:19:00,38677.08,38686.91,38655.03,38655.03,32.52564
2022-05-02 11:20:00,38655.04,38661.96,38640.08,38651.96,20.98977
2022-05-02 11:21:00,38651.95,38703.49,38651.95,38697.6,35.79693
2022-05-02 11:22:00,38697.6,38724.54,38697.6,38718.54,20.1424
2022-05-02 11:23:00,38718.54,38720.97,38701.03,38701.04,23.1557
2022-05-02 11:24:00,38701.04,38708.51,38700.64,38707.94,31.91763
2022-05-02 11:25:00,38707.95,38728.0,38707.94,38718.59,29.44712
2022-05-02 11:26:00,38718.58,38727.48,38710.0,38722.68,27.9467
2022-05-02 11:27:00,38722.67,38734.3,38691.82,38694.6,22.19153
2022-05-02 11:28:00,38694.61,38713.47,38681.16,38713.08,12.77031
2022-05-02 11:29:00,38713.08,38713.08,38673.77,38674.29,11.13545
2022-05-02 11:30:00,38674.29,38677.27,38653.65,38653.66,15.53199
2022-05-02 11:31:00,38653.65,38679.77,38640.81,38674.4,25.06778
2022-05-02 11:32:00,38674.41,38674.41,38655.58,38669.9,10.59402
2022-05-02 11:33:00,38669.9,38684.62,38669.9,38681.2,8.48069
2022-05-02 11:34:00,38681.2,38686.07,38649.6,38653.99,41.82127
2022-05-02 11:35:00,38654.0,38654.0,38630.0,38635.0,45.67666
2022-05-02 11:36:00,38635.01,38635.01,38623.82,38623.83,5.60571
2022-05-02 11:37:00,38623.83,38623.83,38560.76,38560.76,84.6088
2022-05-02 11:38:00,38560.77,38587.35,38539.39,38575.73,61.48683
2022-05-02 11:39:00,38575.73,38587.87,38564.9,38581.85,23.56011
2022-05-02 11:40:00,38581.86,38581.86,38540.33,38540.33,39.53521
2022-05-02 11:41:00,38540.33,38552.8,38529.43,38552.58,24.32307
2022-05-02 11:42:00,38552.58,38569.05,38538.7,38562.39,30.7903
2022-05-02 11:43:00,38562.38,38577.23,38555.4,38562.92,15.52888
2022-05-02 11:44:00,38562.93,38562.93,38544.85,38557.46,28.86624
2022-05-02 11:45:00,38557.47,38561.64,38511.27,38531.7,43.63825
2022-05-02 11:46:00,38531.71,38596.21,38523.68,38579.5,94.43298
2022-05-02 11:47:00,38579.5,38616.47,38560.0,38600.88,81.66429
2022-05-02 11:48:00,38600.88,38600.89,38580.0,38596.91,30.32057
2022-05-02 11:49:00,38596.92,38603.8,38592.85,38594.23,6.83353
2022-05-02 11:50:00,38594.22,38622.51,38594.22,38619.88,6.89209
2022-05-02 11:51:00,38619.89,38630.42,38612.86,38629.5,21.25446
2022-05-02 11:52:00,38629.5,38629.5,38590.0,38600.83,47.18127
2022-05-02 11:53:00,38600.83,38611.2,38592.44,38592.44,21.70944
2022-05-02 11:54:00,38592.45,38602.48,38580.91,38580.91,10.55797
2022-05-02 11:55:00,38580.92,38592.9,38558.88,38564.08,42.24351
2022-05-02 11:56:00,38564.08,38564.08,38482.41,38513.19,95.90864
2022-05-02 11:57:00,38513.2,38520.83,38487.2,38492.85,48.2677
2022-05-02 11:58:00,38492.86,38525.71,38492.85,38525.71,29.61546
2022-05-02 11:59:00,38525.7,38536.58,38516.54,38528.77,40.07398
2022-05-02 12:00:00,38528.78,38531.15,38487.77,38487.77,27.48455
2022-05-02 12:01:00,38487.77,38536.09,38487.77,38536.09,45.13229
2022-05-02 12:02:00,38536.08,38540.85,38520.12,38540.85,21.22814
2022-05-02 12:03:00,38540.84,38548.01,38515.88,38515.89,24.00308
2022-05-02 12:04:00,38515.89,38531.67,38510.07,38523.21,24.91706
2022-05-02 12:05:00,38523.22,38523.22,38482.59,38482.63,34.91907
2022-05-02 12:06:00,38482.62,38482.63,38439.15,38440.01,41.61659
2022-05-02 12:07:00,38440.01,38489.02,38440.0,38476.63,37.31105
2022-05-02 12:08:00,38476.63,38485.68,38468.52,38471.12,14.56251
2022-05-02 12:09:00,38471.12,38488.69,38471.12,38477.28,29.6963
2022-05-02 12:10:00,38477.27,38477.28,38455.31,38455.31,18.82432
2022-05-02 12:11:00,38455.31,38458.96,38422.92,38455.55,56.70653
2022-05-02 12:12:00,38455.55,38488.03,38455.55,38484.45,22.20617
2022-05-02 12:13:00,38484.45,38495.16,38479.12,38495.15,15.38985
2022-05-02 12:14:00,38495.15,38519.99,38493.14,38508.63,27.48571
2022-05-02 12:15:00,38508.62,38548.4,38508.62,38548.39,28.91606
2022-05-02 12:16:00,38548.39,38639.87,38548.39,38603.06,67.05735
2022-05-02 12:17:00,38603.05,38603.06,38570.0,38591.68,13.96427
2022-05-02 12:18:00,38591.69,38637.15,38591.68,38637.15,28.47274
2022-05-02 12:19:00,38637.14,38644.82,38607.24,38607.24,17.0488
2022-05-02 12:20:00,38607.25,38700.0,38607.24,38695.84,60.82766
2022-05-02 12:21:00,38695.83,38700.0,38657.84,38662.47,45.63933
2022-05-02 12:22:00,38662.47,38669.43,38651.3,38659.61,29.13662
2022-05-02 12:23:00,38659.61,38677.16,38650.52,38671.12,47.1029
2022-05-02 12:24:00,38671.13,38677.89,38641.72,38647.46,46.13871
2022-05-02 12:25:00,38647.46,38651.19,38635.67,38635.68,7.38635
2022-05-02 12:26:00,38635.67,38635.68,38614.15,38635.68,14.77103
2022-05-02 12:27:00,38635.68,38660.0,38635.67,38653.34,19.03197
2022-05-02 12:28:00,38653.35,38665.4,38640.0,38664.33,35.17204
2022-05-02 12:29:00,38664.33,38665.4,38640.9,38644.79,26.30711
2022-05-02 12:30:00,38644.8,38705.0,38644.79,38699.99,23.90093
2022-05-02 12:31:00,38699.99,38700.0,38683.14,38686.08,13.54329
2022-05-02 12:32:00,38686.08,38686.08,38662.39,38665.25,10.80613
2022-05-02 12:33:00,38665.25,38665.25,38623.43,38623.44,13.5168
2022-05-02 12:34:00,38623.44,38623.44,38566.16,38575.16,47.69083
2022-05-02 12:35:00,38575.16,38575.17,38534.0,38548.84,38.00962
2022-05-02 12:36:00,38548.84,38574.0,38548.84,38556.32,17.53224
2022-05-02 12:37:00,38556.32,38569.21,38556.31,38564.84,16.85279
2022-05-02 12:38:00,38564.84,38584.55,38562.36,38581.71,24.28709
2022-05-02 12:39:00,38581.72,38613.04,38581.71,38607.15,32.61667
2022-05-02 12:40:00,38607.15,38621.51,38593.39,38604.78,19.5396
2022-05-02 12:41:00,38604.79,38604.79,38593.68,38596.44,12.72822
2022-05-02 12:42:00,38596.43,38604.66,38580.0,38580.0,11.20894
2022-05-02 12:43:00,38580.0,38590.94,38550.8,38590.14,33.15267
2022-05-02 12:44:00,38590.14,38616.6,38590.14,38606.46,15.9989
